Size,Bedrooms,Bathrooms,Location,Price
1191,1,2,Suburbs,239494.10342174163
1890,4,3,City Centre,324229.1124066667
1431,2,3,Suburbs,271854.60547789774
1340,2,2,City Centre,259275.24691053518
2438,2,1,Rural Area,370195.70848926774
2073,2,2,Rural Area,337127.9975180096
2786,2,3,City Centre,402337.90005777415
2988,1,2,Rural Area,377149.37192139594
647,3,1,Suburbs,160128.18654274932
1532,4,3,Rural Area,309635.3274145921
1811,5,3,Rural Area,386855.3104898951
887,4,1,City Centre,252119.5042184369
2373,5,1,Suburbs,394755.0433291461
1415,5,3,Suburbs,358428.3116923164
2378,4,1,Rural Area,390956.2923457064
777,1,2,Rural Area,228261.88804529974
2477,2,1,Suburbs,316050.23635301495
2359,1,2,Suburbs,331528.6925106771
2325,2,3,City Centre,371744.05194589245
2333,3,3,Rural Area,425252.05093765445
1117,5,3,Rural Area,277604.8555935706
2130,4,3,Suburbs,368679.6525557137
2682,3,3,City Centre,424300.77070445847
1079,2,1,Suburbs,188435.59273066896
1670,1,1,Rural Area,247029.9869544775
989,4,3,Rural Area,241191.22590983802
1682,5,1,Rural Area,357104.4097793563
883,3,1,Rural Area,246883.19578161792
662,5,3,City Centre,295506.13383294333
2988,2,1,Rural Area,406865.1611758482
2376,5,3,Suburbs,436105.1482284481
1712,1,3,City Centre,285955.7550912794
2962,3,3,City Centre,468420.52675693517
1862,3,3,Rural Area,366427.387088367
2130,1,1,City Centre,312266.4526446733
1704,5,1,Rural Area,340251.6360835877
787,1,2,City Centre,192808.44419512677
2357,4,2,City Centre,395489.83032542164
686,1,3,Suburbs,156772.58970667468
2407,5,2,Suburbs,408869.3608178233
1661,1,1,Suburbs,255359.0810349842
629,2,1,City Centre,150492.3263809521
2741,1,2,Suburbs,355305.3546544515
2863,1,2,Suburbs,398663.38286083064
2387,5,1,Suburbs,417309.8732840794
643,4,2,City Centre,230213.61166776269
515,4,1,Rural Area,186545.29902956952
2970,5,1,Suburbs,455247.11864949134
744,5,2,City Centre,268400.8616365264
1426,5,2,City Centre,304566.89589521603
2676,2,3,Rural Area,373502.0564126734
1406,3,3,Suburbs,305743.9165174578
1386,1,3,City Centre,251212.00254679637
840,5,3,City Centre,305144.3215540298
2551,5,3,City Centre,428794.7530234954
1933,5,1,Rural Area,379793.72294138744
805,4,2,Suburbs,228824.23657384614
1407,5,1,City Centre,321341.79730029195
1871,1,3,City Centre,276332.1265534111
820,5,3,City Centre,244897.17801833877
1058,1,2,City Centre,212818.30261562002
1704,2,1,Suburbs,269896.38468749763
1909,3,3,Suburbs,349086.7967998449
2141,4,3,City Centre,369588.61158914724
1631,1,3,City Centre,284661.580059573
2957,2,3,City Centre,456178.3685233902
1317,3,1,Rural Area,278633.3023889714
1694,3,1,Rural Area,280905.5510098393
511,3,3,Rural Area,180974.46023366367
694,1,1,City Centre,154338.66665718833
2729,2,3,Rural Area,424849.6463962502
1155,5,2,Suburbs,261737.66733587882
2421,2,2,Rural Area,374288.08870930504
2577,2,2,City Centre,417905.6548154523
2119,2,1,Suburbs,329692.90357363055
1619,1,3,City Centre,245789.82219287578
1277,1,2,Suburbs,205045.153219046
943,1,2,Rural Area,180501.10630964616
797,2,1,Rural Area,181799.56560451377
1307,1,1,Suburbs,222680.2322761243
2260,3,2,Suburbs,380409.0785444492
1344,1,3,City Centre,243430.4981546188
1515,4,3,Suburbs,331620.5675354739
1884,1,3,City Centre,281772.0373303812
1897,1,2,Suburbs,275580.17573133635
1053,1,1,Suburbs,207999.21592840232
2850,1,3,Rural Area,409042.85612601944
920,4,2,Rural Area,263538.9850219913
1769,5,2,City Centre,336113.88963063457
1760,1,1,City Centre,260241.90359740268
684,3,3,City Centre,225106.88581020202
967,4,2,Suburbs,263159.1305869224
2910,5,3,Suburbs,506345.24787518
1806,1,3,City Centre,296502.5078374079
2076,5,3,Suburbs,434406.65754273173
835,3,2,Rural Area,184195.42733124993
2709,4,3,Suburbs,439734.28239859565
1997,4,1,Rural Area,365347.6534106165
2559,5,2,City Centre,420971.81891737133
1947,1,2,Suburbs,311374.62353967613
1087,2,3,City Centre,245657.61898101564
2381,4,3,Rural Area,451064.44103585207
700,2,3,City Centre,201976.66303715072
1021,4,2,Rural Area,259316.7021054593
2387,1,1,Rural Area,359723.8165366405
2211,1,1,City Centre,298870.9121855461
1287,4,2,Rural Area,309825.0377790086
559,5,1,City Centre,227051.61458111607
1077,1,3,City Centre,244443.37496031213
820,1,2,City Centre,175018.52752784608
1958,3,1,Rural Area,318669.4094206622
2537,1,2,Rural Area,346349.502643982
1422,3,1,Suburbs,227722.9749941295
1909,1,2,City Centre,285598.7436372249
2194,1,1,City Centre,368440.0271418769
1068,5,2,City Centre,272153.27143431315
1601,5,2,City Centre,343019.3362294874
1026,1,2,City Centre,226423.3072980488
2672,4,2,City Centre,437630.5028149707
1370,4,2,City Centre,295448.6412461289
779,1,3,Suburbs,175015.23820506426
2392,4,2,Suburbs,428046.93768182985
2251,1,2,City Centre,347272.4035536736
1173,5,2,City Centre,325670.79945093644
1651,2,1,Suburbs,296470.7375453008
2861,3,2,Suburbs,397549.5852472725
831,4,3,City Centre,251063.9475962468
1673,4,2,City Centre,333519.4227848229
2539,5,1,Suburbs,399876.32049098675
1977,4,1,Suburbs,330096.7469387768
535,1,2,City Centre,166311.52128261334
2208,1,2,Suburbs,332786.95750714705
1943,2,2,City Centre,349517.57070153893
2753,2,2,Rural Area,380875.2708014737
1879,2,1,City Centre,274299.5646628246
939,1,2,City Centre,235862.89332364075
1619,2,1,City Centre,261985.45675163317
663,2,1,Suburbs,133296.6660820753
647,1,3,City Centre,187692.99789839264
2841,5,1,City Centre,427599.932013812
694,4,2,Suburbs,221674.46394287434
1162,3,2,Rural Area,227847.1393141055
979,1,2,Rural Area,220129.47702373276
622,1,2,Suburbs,170364.2130866981
1923,3,3,City Centre,321506.25925896986
1464,3,3,Rural Area,305366.9636312387
2278,2,3,Rural Area,376221.9209607479
1985,3,3,Suburbs,349266.8810126206
2514,4,1,Rural Area,429507.60919703176
1209,4,3,Rural Area,316729.81387550355
2943,4,1,Suburbs,429663.7698169839
1411,4,2,Rural Area,296565.9308727707
1860,4,1,City Centre,306267.6078020529
2864,2,1,Suburbs,357467.4319080011
2234,1,3,City Centre,320992.96579713776
2323,3,2,City Centre,358244.9155625738
2079,1,2,Suburbs,334429.4875713275
1180,3,3,Rural Area,245504.90730129214
1833,2,1,Suburbs,290246.995922126
1055,2,3,Rural Area,244790.2427152381
1109,5,1,City Centre,261757.50127980657
2656,5,3,Rural Area,480989.95761332987
871,2,3,City Centre,215848.6111006556
1115,2,2,City Centre,219646.85092678037
2414,3,2,City Centre,414246.4668934505
2753,2,2,Suburbs,378460.71966110007
1346,1,3,Rural Area,265169.579760079
542,3,2,Rural Area,182844.890264132
1364,2,2,Rural Area,232096.18892127392
1768,3,3,City Centre,325191.41639716015
1878,3,2,Suburbs,374915.07018356025
1284,4,1,Rural Area,244524.18758639338
975,5,2,Rural Area,263491.8710933018
582,3,1,Suburbs,207781.78871740698
1633,3,2,Rural Area,284503.6633997526
2737,4,3,Suburbs,436661.5456871481
1299,2,3,Suburbs,267593.35879854043
1435,3,2,Rural Area,279002.86267003306
2798,4,1,Suburbs,434977.20607159106
2838,1,2,Suburbs,378545.1331199488
2168,4,3,Rural Area,391915.53352630924
825,5,2,City Centre,259885.37396179285
2034,5,3,Rural Area,382047.8587753422
2485,2,1,Rural Area,316496.8063071311
2464,2,1,City Centre,389837.7889888017
1336,5,3,Suburbs,312030.1931561624
1007,5,1,Rural Area,250326.6162558618
2619,3,3,City Centre,420867.9132336274
1770,5,3,City Centre,351311.6945469448
1140,2,3,Rural Area,267314.81553354085
2378,5,2,Rural Area,422892.20694465743
1107,2,1,City Centre,210275.29764835016
2458,1,2,Rural Area,335806.4828399156
1065,5,2,City Centre,262490.83651067247
1867,2,1,Rural Area,297966.6288248653
2601,4,2,City Centre,422823.955414114
2253,3,3,Rural Area,367379.80674032733
2081,2,2,Rural Area,338581.7615580074
2486,5,3,Rural Area,475210.5852376024
2740,5,1,Suburbs,439293.9869698411
2605,1,2,Rural Area,355555.2602325599
628,4,1,City Centre,188587.29780137062
2372,2,3,City Centre,369018.0844657264
1205,4,2,Suburbs,272112.0227145423
1351,1,3,Suburbs,229169.2529511019
507,3,3,Suburbs,214724.90794066765
2576,4,3,Rural Area,438067.9628418504
1635,1,1,Rural Area,250027.91322108556
2678,2,1,City Centre,365555.7513757856
2735,3,1,City Centre,416928.7506439243
2198,5,2,Rural Area,364793.91412359895
1998,1,3,City Centre,280737.8817987972
2759,5,1,Rural Area,445409.64322945493
2144,3,3,Suburbs,394687.6690749172
775,1,1,Rural Area,164910.4119970841
2202,1,3,Rural Area,337741.97756033705
2295,3,1,Rural Area,333555.7615669178
742,2,1,City Centre,136310.5253994322
670,1,1,Rural Area,132507.31683948133
1152,3,1,Rural Area,253085.61860545826
2432,4,3,Rural Area,386749.783481983
2735,5,1,Suburbs,421462.95477392495
1609,1,1,Rural Area,214576.4458231508
1999,4,1,Rural Area,326795.7681970058
2599,1,3,Rural Area,397699.09514890314
2658,2,1,City Centre,358681.48618801794
2472,3,3,Suburbs,420487.2242375595
1566,1,2,Suburbs,244979.40511810876
2758,3,3,Rural Area,459624.1759854776
2535,1,2,Rural Area,360481.0566248078
1357,2,1,City Centre,231485.1617073235
1549,2,1,Rural Area,256663.30215922734
798,4,3,City Centre,225969.11318993734
1423,2,1,Rural Area,237079.5270371444
636,3,1,City Centre,217011.34992108925
1543,2,3,Suburbs,296486.1649313644
2987,1,1,Rural Area,341944.80291147117
710,2,2,City Centre,187578.3144804275
2074,3,2,City Centre,350761.1938659386
2982,1,1,Rural Area,398211.35293215653
1279,4,1,City Centre,265402.9735841908
1730,4,2,Rural Area,330599.0362009629
2986,4,1,Rural Area,464254.89115254214
2302,1,2,City Centre,325334.96297575353
1565,4,3,City Centre,316926.03039136983
910,2,2,City Centre,227714.79263710952
926,1,1,Suburbs,194688.47327423267
1971,1,1,Rural Area,238883.53955607035
1441,1,2,Rural Area,249278.73292860095
2407,5,2,Suburbs,400552.48573738406
1241,3,1,Suburbs,257098.2264950306
1892,5,1,City Centre,373251.71977837395
1743,5,1,Rural Area,351684.90672764834
2100,5,3,Suburbs,419358.89350995247
1755,3,3,Suburbs,317292.83467942534
827,5,2,Rural Area,253548.48839725705
1966,4,2,Rural Area,368453.7636517895
2599,1,3,Rural Area,376318.6920476368
2466,1,3,City Centre,330731.29948945856
875,2,2,Suburbs,225328.32674822706
762,4,3,City Centre,221931.86082577956
766,3,2,Rural Area,223095.2740662187
2906,1,1,Rural Area,379745.37439727556
2444,5,2,Suburbs,448031.54828161845
2393,2,3,City Centre,369584.5246275042
2401,2,3,City Centre,334520.7432384185
2152,1,3,City Centre,333065.8844881422
1944,4,2,Rural Area,361052.0445832558
545,2,3,Suburbs,210972.48623699267
1099,1,2,City Centre,199341.90581693998
1219,4,1,Rural Area,280963.8978053601
2412,1,1,Rural Area,344140.67333069106
1792,1,3,City Centre,279556.8897530522
1100,4,2,Suburbs,276340.03298252966
880,4,2,Suburbs,218560.5703768174
617,4,3,City Centre,247982.06457028398
2663,1,2,Rural Area,370747.73717651935
759,2,3,Rural Area,186126.07678066078
1598,3,3,City Centre,306861.3147912876
2003,3,1,Rural Area,346998.79072873807
2852,1,3,Rural Area,404196.9676323806
2554,1,2,City Centre,341744.0765081085
865,2,3,Rural Area,206144.32337296734
2157,4,1,City Centre,380763.2956365673
1961,1,1,City Centre,271279.22272519366
2524,5,2,City Centre,436812.2962045889
2976,4,3,Rural Area,464340.515454722
1290,1,2,City Centre,184756.0239819007
1246,5,2,Rural Area,291535.2657925453
2914,2,3,City Centre,449159.29224193515
812,5,1,Suburbs,289078.95628531394
1037,1,2,Rural Area,188232.5872086648
1420,3,2,Rural Area,288666.5094824904
1577,1,1,Rural Area,289274.93072614376
1990,3,3,Suburbs,378019.0699367662
2881,2,3,City Centre,398854.67692832305
1297,2,3,Suburbs,259408.29271318417
847,4,1,City Centre,234853.6531477724
772,4,2,City Centre,262654.2522449532
1219,3,1,City Centre,222835.02531539745
2273,3,2,City Centre,382784.33083636715
1184,2,2,City Centre,252471.33275060944
2626,5,3,Suburbs,451520.36705032625
1121,3,3,Rural Area,309982.9580001597
2539,3,3,Suburbs,390672.38779027166
1446,5,1,Rural Area,316881.92575472675
2905,4,3,Rural Area,469488.0469705932
1006,4,1,Rural Area,253120.14000856967
2082,3,3,Suburbs,386309.5687700834
743,4,3,City Centre,222446.57150246677
1005,4,3,City Centre,278670.4667086393
921,4,1,Rural Area,276490.6405522771
2764,2,2,City Centre,412364.7820165172
2372,1,1,City Centre,308982.5541054201
1692,3,1,Suburbs,278199.73819282214
829,3,1,City Centre,218255.50817392438
1149,2,2,City Centre,225113.74040479428
1964,1,1,Suburbs,278543.6613096662
890,1,3,City Centre,189130.8234054455
2019,2,2,Rural Area,363379.1396865844
880,5,1,Suburbs,259929.08782988635
1241,5,1,City Centre,290155.3929972806
2510,1,2,City Centre,318351.88527860184
1319,5,1,Suburbs,280389.69977146067
1172,5,2,Rural Area,295981.0849427187
2271,5,3,Suburbs,420905.0082465776
1711,1,1,Rural Area,289317.8283569861
1429,5,1,Suburbs,310375.549976589
2039,3,3,City Centre,379665.97230903007
1412,1,1,Suburbs,229785.9952591483
1143,2,1,Suburbs,236520.13024899916
926,5,2,Rural Area,239240.56234504495
1001,4,1,Suburbs,219970.03229025358
1229,1,3,Rural Area,256376.14840234385
1783,2,1,Suburbs,313230.8141646233
2618,3,2,City Centre,367670.82889681053
956,2,3,Suburbs,230843.95527101922
2736,5,3,City Centre,438608.73564893444
790,4,3,Rural Area,240716.62168939837
1419,5,3,Rural Area,298883.1208525748
2839,2,2,Rural Area,401531.20250139525
2469,1,2,Rural Area,343210.24854579393
1255,4,2,Suburbs,281567.8640138833
2158,4,2,Suburbs,369946.90709151997
2334,2,1,Suburbs,351098.2180075099
1806,5,2,City Centre,394889.21629274613
2067,2,1,Suburbs,287524.660692508
2369,4,3,City Centre,395089.834189963
876,2,1,City Centre,195187.89699767216
1679,4,1,Suburbs,307539.38644166157
1007,5,1,City Centre,259367.5852191372
1936,1,2,Rural Area,267351.38067531347
1058,1,2,Suburbs,196685.38562529546
2807,2,3,Suburbs,406785.63213486114
920,4,2,City Centre,256376.1791962199
2052,1,1,Suburbs,272050.7605838187
803,4,2,Suburbs,258147.23287195194
1441,5,2,City Centre,298805.94778641994
1801,2,1,Suburbs,316183.6476456837
1589,4,3,Suburbs,317545.4875018481
2655,2,2,Suburbs,414345.6217776352
2815,4,3,City Centre,441501.79136526136
2769,4,1,Suburbs,438511.4360353059
2327,5,2,Suburbs,405403.01018566376
2053,2,3,Suburbs,341911.7713448671
1192,3,3,Rural Area,286236.7245610326
754,4,1,Suburbs,213728.75699729638
1978,4,2,City Centre,319733.3965407536
2800,1,3,Rural Area,382280.4150463134
756,2,3,City Centre,200489.6010017254
2930,3,3,Suburbs,482570.55603151105
941,5,3,Suburbs,288155.74902041146
2381,3,3,Suburbs,396512.187004002
1613,5,3,Rural Area,353987.62971356855
2937,3,3,Suburbs,453058.44318413263
1081,3,3,City Centre,238344.44512370526
2235,2,3,Rural Area,344759.0011889925
518,1,3,City Centre,180050.62601307948
1624,3,2,City Centre,297935.846033446
1880,4,1,City Centre,330973.9767731248
2065,4,1,City Centre,351096.15478576475
2580,4,1,City Centre,416761.82811368624
2493,1,3,Suburbs,351483.380953333
2047,3,1,City Centre,331698.4869076938
1361,5,3,City Centre,288035.06429298385
654,5,2,Suburbs,213163.19947651247
1404,2,1,Rural Area,240426.65958535174
1769,1,2,Suburbs,254795.03813470755
904,3,2,Rural Area,250065.39063845162
1343,4,3,City Centre,287937.86940964864
2282,1,1,Suburbs,310644.38712941576
2064,1,2,Rural Area,322448.56282255985
1684,3,1,Rural Area,303265.4431520767
1246,2,2,Suburbs,233705.31957972844
2225,2,2,Suburbs,334702.1800179135
770,2,3,Suburbs,221493.72868010632
1269,4,1,Suburbs,288037.703581199
2215,4,3,Suburbs,426438.7038670447
2010,3,3,City Centre,372104.02713744156
671,2,3,City Centre,215807.61235787533
773,3,3,Suburbs,239152.15084693476
2806,2,3,Suburbs,418017.1761795274
1658,1,2,City Centre,258381.79433877964
2206,5,1,Rural Area,395569.08413256804
2271,5,1,City Centre,387370.9727478464
921,2,3,Suburbs,241029.6746896103
1944,3,1,Rural Area,333847.117247899
1709,4,2,Suburbs,340304.5392637008
2911,2,3,Rural Area,413654.55636163073
2925,2,2,Suburbs,410734.30688744906
1079,4,2,City Centre,289577.07690197515
1390,2,3,Suburbs,239861.7695978842
1221,1,2,City Centre,225901.55688749364
1380,4,3,Rural Area,328141.1118786817
1621,1,2,City Centre,270792.44233575417
2507,5,1,Rural Area,457087.2256349715
2569,4,1,Suburbs,369662.79362563934
1973,4,1,City Centre,318627.0700067685
882,3,3,Rural Area,246846.4070323537
2681,3,2,Rural Area,426739.2366382644
1949,4,2,Rural Area,356047.289096696
2090,5,1,Rural Area,400359.9045922745
2286,2,1,Suburbs,322055.1121556267
643,3,3,Suburbs,213842.73767071866
2386,5,3,Suburbs,448853.6942638958
2202,5,2,Rural Area,393125.14823666355
1935,3,3,Suburbs,367237.6759860256
723,2,3,Rural Area,221195.18612535688
719,3,3,Rural Area,218573.308145597
678,5,1,Rural Area,238791.1505457918
2154,1,1,City Centre,290839.7196313524
932,3,2,Suburbs,215354.8739951994
764,5,3,Suburbs,263573.6785940821
1453,3,1,City Centre,266711.2821379982
928,5,3,City Centre,290034.34086955764
2963,2,2,City Centre,414126.5105344687
2744,5,3,City Centre,434299.840645681
2077,4,2,Rural Area,387517.0638533006
979,1,2,Suburbs,163854.69761998235
1853,5,1,Suburbs,354076.701362119
1389,3,3,Suburbs,279080.50761739083
1424,3,1,Rural Area,270320.99387167266
2670,5,3,Suburbs,457517.05187708134
2402,4,3,City Centre,422154.49217231345
1910,5,2,Suburbs,381409.0583219214
1862,2,2,Suburbs,326958.1190108471
1277,4,3,Rural Area,318162.85718071973
2895,5,1,City Centre,455327.72451002256
528,1,2,City Centre,171664.06500011295
534,4,2,City Centre,203223.66431187777
1919,5,3,Suburbs,420518.1201252635
1088,1,3,City Centre,211912.33674444753
1403,5,2,City Centre,310904.51054374716
2669,2,1,Suburbs,335560.80456106993
839,3,2,Rural Area,210545.07380983754
674,5,3,Suburbs,257058.89343311763
2423,4,2,Rural Area,396853.7314665525
2214,5,3,Rural Area,450058.0318846509
1096,5,2,City Centre,301299.9220158064
950,5,3,City Centre,308780.1769206446
1056,5,3,Suburbs,300602.40680955973
1659,4,1,Rural Area,296878.29190132715
1856,4,3,Suburbs,404177.9071880389
2556,5,2,City Centre,433581.54107193195
2881,3,3,Rural Area,455989.50341829716
1516,5,2,City Centre,312649.32385009795
2874,4,1,City Centre,408987.7185595637
2562,2,2,City Centre,406116.43057462637
1338,5,1,Rural Area,307450.0706828569
2137,5,1,Rural Area,374250.9340109148
725,5,3,City Centre,263727.34874144156
2313,5,1,Rural Area,375597.8318411844
2660,1,2,City Centre,354778.80037779105
2520,5,1,City Centre,425514.32915950526
1951,4,1,City Centre,341012.9996208618
2548,4,3,Rural Area,444856.24522460264
2813,1,2,Suburbs,326485.13662339514
2014,5,1,Suburbs,369886.00656113017
1731,3,3,Rural Area,343696.66691571753
2145,5,3,Rural Area,365376.90523010015
2235,4,2,City Centre,362819.8647574734
805,2,3,City Centre,186579.09592149867
2559,2,1,Suburbs,386830.56943501806
2223,3,3,City Centre,378741.88733307394
2189,5,2,Suburbs,401722.7114991714
2017,1,2,Suburbs,324389.34402933996
1891,5,3,Rural Area,381883.8869148644
919,3,1,Rural Area,203902.91629442511
2718,3,3,Rural Area,430224.1148866449
633,3,2,Suburbs,211904.49435542518
2530,2,3,Rural Area,365383.1371195493
1950,5,3,Suburbs,421328.2904338609
2053,5,1,Rural Area,332435.13781973755
1664,1,3,Suburbs,287929.0960206922
2369,3,1,City Centre,395374.1212763223
2319,3,3,City Centre,389320.7429347906
1842,4,3,Suburbs,318102.7209930704
1964,4,1,Suburbs,371131.9766149886
2726,2,1,City Centre,367975.71620275045
1579,5,2,Suburbs,353517.58000843227
1678,1,1,Suburbs,261178.50097181104
2195,1,3,City Centre,334175.5982896878
610,3,2,Suburbs,159821.39693576604
2684,1,1,Rural Area,361539.0772611973
2779,3,1,City Centre,417662.02115729835
967,5,2,Rural Area,244680.38551971785
1313,1,3,Suburbs,279791.6651397951
1772,3,3,Suburbs,324476.49222572375
1493,5,2,Rural Area,365628.0424266022
2531,5,3,Suburbs,461440.4464502569
822,3,1,Suburbs,207673.45749878933
1403,3,3,Rural Area,297395.1736927472
2041,2,1,Suburbs,328796.6530455496
2499,5,3,City Centre,475459.71929400857
2315,3,1,Rural Area,337062.6828422897
2976,5,2,Rural Area,465628.5711914717
647,1,1,Rural Area,182860.58293935625
1641,4,3,Rural Area,321456.7157250799
1349,4,1,City Centre,280342.85125140345
866,3,3,Rural Area,227854.23687387025
1589,3,3,Rural Area,328684.2888312571
2538,5,1,Suburbs,369526.2801605614
674,3,3,Rural Area,237093.28664006252
2354,5,2,Suburbs,438607.15493618447
1087,3,3,Rural Area,276849.3703516948
994,5,2,Rural Area,262771.1181209445
1637,3,2,City Centre,232833.62155788945
2284,2,3,Suburbs,349850.3706459535
1670,5,2,City Centre,360035.5598380961
534,2,2,Suburbs,172908.75204267766
1498,2,1,Rural Area,272376.16164970945
1832,2,2,City Centre,298775.43399892957
1537,2,2,Suburbs,268263.2914484787
873,1,2,Suburbs,219303.7471308296
1951,4,2,City Centre,341290.49967926915
2251,1,2,Suburbs,338031.1330253651
2780,3,3,Rural Area,448681.83064714586
1204,3,2,Suburbs,307827.76823608996
1062,4,3,Rural Area,314313.96395649354
2373,4,3,Suburbs,423280.5397990595
2623,4,3,City Centre,451494.9148645511
938,2,1,Rural Area,224037.59361040284
2383,1,1,Suburbs,310468.16273980646
2479,3,3,Rural Area,438128.7274349206
1198,1,1,City Centre,204176.07744914675
1812,1,2,Suburbs,294834.782754718
2063,1,3,Suburbs,328529.6247709962
1191,4,3,Rural Area,278959.68096515286
2800,4,3,City Centre,447380.2764976887
1700,3,1,City Centre,279052.36286105734
2957,3,1,Suburbs,425085.59427069325
2134,3,1,Rural Area,307762.39083644806
2133,1,2,Suburbs,293520.8003950579
626,4,1,Suburbs,198732.5008518178
2006,2,3,Rural Area,332445.3296972133
1691,1,1,City Centre,283216.8080304089
793,5,1,Suburbs,264199.3022579267
1866,1,1,Suburbs,269253.9357063553
1519,4,1,Rural Area,333188.0991732997
2857,5,3,Rural Area,487412.18888722215
918,1,1,Suburbs,190282.46132804928
943,4,3,City Centre,231477.834975037
1184,4,1,Rural Area,244565.01397379872
2783,2,2,Suburbs,419252.97709482245
1962,1,2,City Centre,309295.25256085536
2761,4,3,Rural Area,487004.4313185258
584,3,3,Rural Area,247750.01122050345
2267,4,2,Suburbs,376085.96874625643
584,2,2,Rural Area,201422.32728308754
2444,4,1,Suburbs,369748.56155993504
2612,1,2,Rural Area,329439.0221949519
2169,1,3,City Centre,338281.51561632357
1162,5,3,City Centre,326507.698505221
1126,1,2,Rural Area,219294.7725781851
563,5,3,Suburbs,270423.3229104524
1418,3,1,Rural Area,255167.61813117575
1875,2,1,Suburbs,312876.26753924985
1681,3,2,Rural Area,297701.8970411756
2112,5,3,City Centre,453976.49576224864
990,4,2,Suburbs,276121.039283673
2378,4,3,City Centre,444346.6015516311
2440,3,3,City Centre,374110.9078259048
812,4,3,City Centre,247785.97726008494
1418,5,1,Rural Area,305085.7981733891
2382,2,3,Suburbs,349966.6027664024
1312,1,1,City Centre,248492.59375978253
1989,5,3,Suburbs,395034.87740982266
1826,5,2,Suburbs,332408.35708622413
1179,1,1,City Centre,192966.39352277867
934,1,1,Rural Area,155933.95084227558
1181,2,1,City Centre,238003.54197637804
1658,2,2,City Centre,297940.28686063964
1573,2,1,Suburbs,275252.0377129826
1955,4,2,Rural Area,375113.20566846424
2887,5,3,Suburbs,527644.1738575827
2894,1,3,Rural Area,440690.6763367878
1870,5,2,City Centre,358042.07824837527
1148,5,1,Rural Area,322388.54243907554
744,2,1,Suburbs,175394.27411809016
2656,2,2,City Centre,387698.3916130794
795,5,3,Rural Area,275922.64784963336
2659,2,2,Rural Area,399193.9806711129
2112,4,1,Suburbs,318863.90894116357
2890,1,1,Rural Area,374498.09751184704
2648,5,1,City Centre,435707.1505111479
2127,1,1,Rural Area,264003.9524571457
527,4,3,Suburbs,193631.45747538604
2485,2,3,Rural Area,366985.4385755194
2060,3,3,City Centre,346189.3723573956
557,4,1,City Centre,201557.84868850757
2021,3,1,Rural Area,324438.55497571547
796,1,1,Rural Area,188080.3105567074
2681,5,2,City Centre,440500.6760731114
2796,2,1,Suburbs,377373.6263541921
1401,4,3,City Centre,335177.84485562786
2464,2,3,Rural Area,343346.15790300723
1598,3,3,Rural Area,350272.0630402427
2177,3,2,Suburbs,327249.5692974772
1691,5,3,City Centre,384517.2029578116
1270,3,2,City Centre,283883.1812812802
2026,5,2,Suburbs,413904.64961242455
1878,4,2,City Centre,333511.9622704723
1748,5,1,Suburbs,340641.4281988942
2054,3,1,City Centre,307366.7277636461
645,1,3,Suburbs,178273.94027546662
2483,5,3,Suburbs,441251.8014050268
1764,2,2,Suburbs,327472.456017423
2407,1,1,Rural Area,336451.216123075
2891,5,3,Rural Area,483422.0513276501
2272,2,3,Rural Area,361263.3962507782
1558,1,1,City Centre,231617.0415531094
2548,5,2,Suburbs,430018.3759585262
2519,4,3,City Centre,428542.6045120829
652,2,3,City Centre,238977.983569632
2976,4,1,Suburbs,450635.8996553817
1007,3,1,Rural Area,204993.27795980588
990,5,2,City Centre,331160.86091335985
844,5,2,City Centre,285089.44877312006
2435,2,3,City Centre,397939.4692435224
2261,5,2,Rural Area,401779.99393997446
720,3,3,Suburbs,242950.41612969982
2438,5,3,Suburbs,444886.0052598557
2442,1,1,City Centre,302014.3709408488
1222,4,3,Suburbs,306272.7909957862
1027,3,1,Rural Area,202601.2174213444
2022,3,3,Suburbs,363160.85668894206
2164,4,3,City Centre,399226.4738887037
980,4,3,City Centre,254753.67799901322
2371,3,2,Suburbs,379451.2841800311
1962,4,2,City Centre,368089.18071551714
1925,2,1,Rural Area,287248.6427763029
844,4,3,Rural Area,268543.24141372886
544,1,1,Rural Area,164846.1107225325
2568,1,1,Rural Area,358643.0622385973
2157,2,3,City Centre,344501.85319372866
2387,4,2,City Centre,427763.78449834837
2595,1,2,Suburbs,374558.03611862595
2014,5,1,City Centre,363017.82231817825
2834,4,2,Suburbs,431064.19803433033
1501,2,3,City Centre,297474.4898547843
1533,4,3,Suburbs,350007.22116925585
2540,3,2,Suburbs,416681.71860385826
773,3,2,Rural Area,229626.08290207214
1455,1,1,Suburbs,223680.8393117125
2279,3,2,Suburbs,379262.50654890307
880,2,1,Suburbs,175783.21263588418
1852,1,3,Suburbs,306000.5855256358
978,2,3,Suburbs,268766.096299161
2562,2,3,Rural Area,371050.7683709382
1015,3,2,Suburbs,230430.261765553
690,3,2,Suburbs,227935.24266522532
1691,2,2,Suburbs,271572.20400929166
1660,3,1,City Centre,321694.5031046525
2701,3,1,City Centre,414622.4805428871
1911,3,1,Rural Area,336456.9937950633
771,4,3,Suburbs,274857.1831486206
642,2,1,Suburbs,143351.74622592013
2412,5,2,City Centre,399567.1435473789
1592,2,2,Suburbs,305602.02603937604
2794,1,3,Rural Area,388261.784311373
1287,3,2,Suburbs,267254.2783971678
2626,3,2,Rural Area,416757.8276471338
2181,5,2,City Centre,401126.1333944953
1122,1,1,Rural Area,218813.71908116015
1437,4,1,Rural Area,300269.958752265
